Date: 2023-11-26, North Movement: 2.346999943256378, East Movement: -8.30900005530566
Date: 2023-11-27, North Movement: 21.01500006392598, East Movement: 4.491999978199601
Date: 2023-11-28, North Movement: 19.990000408142805, East Movement: 7.42600008379668
Date: 2023-11-29, North Movement: 17.18899980187416, East Movement: 1.917000045068562
Date: 2023-11-30, North Movement: 20.301999989897013, East Movement: 7.838999968953431
Date: 2023-12-01, North Movement: 24.745000060647726, East Movement: 11.889000074006617
Date: 2023-12-02, North Movement: 28.794999700039625, East Movement: 10.470999986864626
Date: 2023-12-03, North Movement: 23.335000034421682, East Movement: -0.6349999457597733
Date: 2023-12-04, North Movement: 15.83900023251772, East Movement: 3.434999962337315
Date: 2023-12-05, North Movement: 19.80500016361475, East Movement: 3.8750000530853868
Date: 2023-12-06, North Movement: 20.179000217467546, East Movement: 3.9729999843984842
Date: 2023-12-07, North Movement: 15.933999791741371, East Movement: 3.0330000445246696
Date: 2023-12-08, North Movement: 23.833000101149082, East Movement: 19.66400002129376
Date: 2023-12-09, North Movement: 16.79199980571866, East Movement: 7.116000051610172
Date: 2023-12-10, North Movement: 2.148999832570553, East Movement: 0.6910000229254365
Date: 2023-12-11, North Movement: 0.7170001044869423, East Movement: 0.4409999819472432
Date: 2023-12-12, North Movement: 9.78600000962615, East Movement: 3.1899999594315886
Date: 2023-12-13, North Movement: 2.5540003553032875, East Movement: -0.5940000992268324
Date: 2023-12-14, North Movement: 4.47099981829524, East Movement: -0.7879999466240406
Date: 2023-12-15, North Movement: 2.4040001444518566, East Movement: -1.7989999614655972
Date: 2023-12-16, North Movement: 25.26099979877472, East Movement: 11.899000033736229
Date: 2023-12-17, North Movement: 25.471999775618315, East Movement: 8.139000041410327
Date: 2023-12-18, North Movement: 3.6260001361370087, East Movement: -0.5510000046342611
Date: 2023-12-19, North Movement: 20.151000004261732, East Movement: 5.583000020124018
Date: 2023-12-20, North Movement: 23.530999664217234, East Movement: 8.325000060722232
Date: 2023-12-21, North Movement: 22.82000007107854, East Movement: 9.804000030271709
Date: 2023-12-22, North Movement: 26.222999673336744, East Movement: 12.455000076442957
Date: 2023-12-23, North Movement: 20.231999922543764, East Movement: 4.8470000037923455
Date: 2023-12-24, North Movement: 21.025999914854765, East Movement: 8.776000002399087
Date: 2023-12-25, North Movement: 29.89999996498227, East Movement: 4.719999968074262
Date: 2023-12-26, North Movement: 14.12499975413084, East Movement: 3.6349999718368053
Date: 2023-12-27, North Movement: 7.114999927580357, East Movement: 3.652999992482364
Date: 2023-12-28, North Movement: 16.605999786406755, East Movement: 4.884000052697957
Date: 2023-12-29, North Movement: 7.300000172108412, East Movement: -6.577000021934509
Date: 2023-12-30, North Movement: 17.909999936819077, East Movement: 4.319999949075282
Date: 2023-12-31, North Movement: 16.36999985203147, East Movement: 6.694000097922981
Date: 2024-01-01, North Movement: 14.179000165313482, East Movement: 5.908000050112605
Date: 2024-01-02, North Movement: 13.180000241845846, East Movement: -4.06700000166893
Date: 2024-01-03, North Movement: 27.08199992775917, East Movement: -3.203999949619174
Date: 2024-01-04, North Movement: 23.43899989500642, East Movement: 12.727999943308532
Date: 2024-01-05, North Movement: 21.509999874979258, East Movement: 9.322999976575375
Date: 2024-01-06, North Movement: 18.628000281751156, East Movement: 8.360999985598028
Date: 2024-01-07, North Movement: 25.77099995687604, East Movement: 12.561999959871173
Date: 2024-01-08, North Movement: 19.28999973461032, East Movement: 6.970000104047358
Date: 2024-01-09, North Movement: -0.1860000193119049, East Movement: -1.1679999297484756
Date: 2024-01-10, North Movement: 23.634999990463257, East Movement: -3.400999936275184
Date: 2024-01-11, North Movement: 12.878000270575285, East Movement: 10.35200001206249
Date: 2024-01-12, North Movement: 21.35600009933114, East Movement: 4.612000077031553
Date: 2024-01-13, North Movement: 13.356999959796667, East Movement: -0.7960000075399876
Date: 2024-01-14, North Movement: 22.908000275492668, East Movement: 6.965000065974891
Date: 2024-01-15, North Movement: 20.22199984639883, East Movement: 5.987999960780144
Date: 2024-01-16, North Movement: -0.9619998745620251, East Movement: 0.1479999627918005
Date: 2024-01-17, North Movement: -1.0979999788105488, East Movement: -2.3740000324323773
Date: 2024-01-18, North Movement: 0.14799972996115685, East Movement: -0.6389999762177467
Date: 2024-01-19, North Movement: 2.061000093817711, East Movement: 2.158000017516315
Date: 2024-01-20, North Movement: 1.6430001705884933, East Movement: -0.8430000161752105
Date: 2024-01-21, North Movement: 16.276999842375517, East Movement: 6.377000012435019
Date: 2024-01-22, North Movement: 21.802000235766172, East Movement: 7.81099998857826
Date: 2024-01-23, North Movement: 25.173000060021877, East Movement: 8.548999903723598
Date: 2024-01-24, North Movement: 22.426000330597162, East Movement: 5.524000036530197
Date: 2024-01-25, North Movement: 20.5999999307096, East Movement: 6.459000054746866
Date: 2024-01-26, North Movement: 22.092999890446663, East Movement: 1.530999899841845
Date: 2024-01-27, North Movement: 18.459000159054995, East Movement: 5.210999981500208
Date: 2024-01-28, North Movement: 19.03099985793233, East Movement: 6.403999985195696
Date: 2024-01-29, North Movement: 10.759000200778246, East Movement: 3.7960000336170197
Date: 2024-02-09, North Movement: 21.183999720960855, East Movement: 11.994000058621168
Date: 2024-02-10, North Movement: 14.60999995470047, East Movement: -2.3240000009536743
Date: 2024-02-11, North Movement: 22.414000239223242, East Movement: -1.0040000779554248
Date: 2024-02-12, North Movement: 20.715999882668257, East Movement: 2.5390000082552433
Date: 2024-02-13, North Movement: 18.43099994584918, East Movement: 1.474000047892332
Date: 2024-02-14, North Movement: 11.297000106424093, East Movement: 2.060999977402389
Date: 2024-02-15, North Movement: 3.425000235438347, East Movement: 0.9109999518841505
Date: 2024-02-16, North Movement: 25.15800017863512, East Movement: 5.077000008895993
Date: 2024-02-17, North Movement: 17.701999749988317, East Movement: 3.8560000248253345
Date: 2024-02-18, North Movement: 4.249999765306711, East Movement: -1.0219999821856618
Date: 2024-02-19, North Movement: 1.39999995008111, East Movement: -0.47400000039488077
Date: 2024-02-20, North Movement: -1.6939998604357243, East Movement: 1.112000085413456
Date: 2024-02-21, North Movement: -1.595000270754099, East Movement: 0.10199996177107096
Date: 2024-02-22, North Movement: 0.674000009894371, East Movement: 2.2330000065267086
Date: 2024-02-24, North Movement: 4.742000252008438, East Movement: 0.5080000264570117
Date: 2024-02-25, North Movement: 18.725000321865082, East Movement: 9.695000015199184
Date: 2024-02-26, North Movement: 16.16699993610382, East Movement: 8.909999975003302
Date: 2024-02-27, North Movement: 19.334999844431877, East Movement: 7.702000089921057
Date: 2024-02-28, North Movement: 12.709999922662973, East Movement: 2.804999938234687
